Domain Name,Ref Code,Ref Description
COUNTRYCODE,SVAL,Svalbard
COUNTRYCODE,SVGR,Saint Vincent and the Grenadines
COUNTRYCODE,SWAN,Swan Islands
COUNTRYCODE,SWAZ,Swaziland
COUNTRYCODE,SWED,Sweden
COUNTRYCODE,SWIT,Switzerland
COUNTRYCODE,SYRI,Syria
COUNTRYCODE,TAIW,"Taiwan, Province Of China"
COUNTRYCODE,TAJI,Tajikistan
COUNTRYCODE,TAJSS,Tajik S.S.R.
COUNTRYCODE,TANZ,Tanzania
COUNTRYCODE,TENN,Tennessee
COUNTRYCODE,TEXA,Texas
COUNTRYCODE,THAI,Thailand
COUNTRYCODE,TOGO,Togo
COUNTRYCODE,TOKE,Tokelau
COUNTRYCODE,TONG,Tonga
COUNTRYCODE,TRIN,Trinidad and Tobago
COUNTRYCODE,TRUS,Trust Territory of the Pacific Islands
COUNTRYCODE,TSSR,Turkmen S.S.R.
COUNTRYCODE,TUNI,Tunisia
COUNTRYCODE,TURK,Turkey
COUNTRYCODE,TURKI,Turks and Caicos Islands
COUNTRYCODE,TURKM,Turkmenistan
COUNTRYCODE,TUVA,Tuvalu
COUNTRYCODE,UAM,United Arab Emirates
COUNTRYCODE,UGAN,Uganda
COUNTRYCODE,UKNT,United Kingdom (Tax Free)
COUNTRYCODE,UKRA,Ukraine
COUNTRYCODE,UNIT,United Kingdom
COUNTRYCODE,URUG,Uruguay
COUNTRYCODE,USA,United States
COUNTRYCODE,USMOI,United States Minor Outlying Islands
COUNTRYCODE,UTAH,Utah
COUNTRYCODE,UZBE,Uzbekistan
COUNTRYCODE,VANU,Vanuatu
COUNTRYCODE,VATI,Vatican City
COUNTRYCODE,VENE,Venezuela
COUNTRYCODE,VERM,Vermont
COUNTRYCODE,VIETN,Vietnam
COUNTRYCODE,VIRG,Virginia
COUNTRYCODE,VIRGI,Virgin Islands of the United States
COUNTRYCODE,WAKE,Wake Island
COUNTRYCODE,WALL,Wallis and Futuna
COUNTRYCODE,WASH,Washington (State)
COUNTRYCODE,WESTB,West Berlin
COUNTRYCODE,WESTJ,West Bank of the Jordan River
COUNTRYCODE,WESTS,Western Sahara
COUNTRYCODE,WESTV,West Virginia
COUNTRYCODE,WISC,Wisconsin
COUNTRYCODE,WYOM,Wyoming
COUNTRYCODE,YEME,Yemen
COUNTRYCODE,YUKO,Yukon Territory
COUNTRYCODE,ZAMB,Zambia
COUNTRYCODE,ZIMB,Zimbabwe
COUNTRYCODE,ZZZZ,Non taxable countries
